무인교통단속카메라관리번호,소재지지번주소,위도,경도,,,,,,,,,,,
P-5F19,경기도 고양시 덕양구 행신동 696,37.6176977,126.83166,,,,,,,,,,,
P-5F20,경기도 고양시 덕양구 행신동 1038,37.62602785,126.8427278,,,,,,,,,,,
P-5F21,경기도 고양시 덕양구 행신동 171-2,37.61985584,126.844798,,,,,,,,,,,
P-6519,경기도 고양시 일산동구 백석동 1301,37.64022347,126.7904006,,,,,,,,,,,
P-7202,경기도 고양시 일산서구 일산동 541-5,37.68270348,126.775039,,,,,,,,,,,
P-7203,경기도 고양시 일산서구 일산동 576-19,37.68554622,126.7754563,,,,,,,,,,,
P-7301,경기도 고양시 일산서구 일산동 1065,37.67966421,126.7641513,,,,,,,,,,,
P-7412,경기도 고양시 일산서구 탄현동 1591-3,37.692509,126.7729957,,,,,,,,,,,
P-7413,경기도 고양시 일산서구 일산동 2103,37.68927735,126.7632955,,,,,,,,,,,
P-7601,경기도 고양시 일산서구 주엽동 30,37.6743262,126.7633742,,,,,,,,,,,
P-7803,경기도 고양시 일산서구 대화동 1979-1,37.66846943,126.732143,,,,,,,,,,,
SP-5A12,경기도 고양시 덕양구 관산동 179-5,37.6881163,126.8654713,,,,,,,,,,,
SP-5C22,경기도 고양시 덕양구 화정동 867,37.6410022,126.8295758,,,,,,,,,,,
P-5102,경기도 고양시 덕양구 주교동 609-10,37.65575198,126.8337819,,,,,,,,,,,
P-5C01,경기도 고양시 덕양구 화정동 982,37.63294847,126.8311242,,,,,,,,,,,
P-5C02,경기도 고양시 덕양구 화정동948,37.63156883,126.8267438,,,,,,,,,,,
P-5C03,경기도 고양시 덕양구 화정동 694-2,37.6429407,126.8303505,,,,,,,,,,,
P-5409,경기도 고양시 덕양구 주교동 610-4,37.65600851,126.8351442,,,,,,,,,,,
P-5C14,경기도 고양시 덕양구 화정동 952,37.63150598,126.8288031,,,,,,,,,,,
P-5C15,경기도 고양시 덕양구 화정동 986-9,37.630828,126.8331031,,,,,,,,,,,
P-5C16,경기도 고양시 덕양구 화정동 986-6,37.63150654,126.8333494,,,,,,,,,,,
P-5C17,경기도 고양시 덕양구 화정동 955,37.63746569,126.8322929,,,,,,,,,,,
P-5E02,경기도 고양시 덕양구 토당동 394-3,37.62396116,126.8255017,,,,,,,,,,,
P-5F09,경기도 고양시 덕양구 행신동 714,37.6152571,126.8337105,,,,,,,,,,,
P-5F10,경기도 고양시 덕양구 행신동 619-18,37.61932536,126.8323429,,,,,,,,,,,
P-5F11,경기도 고양시 덕양구 화정동 1135,37.62652449,126.8331225,,,,,,,,,,,
P-5F12,경기도 고양시 덕양구 행신동 761-6,37.6143559,126.8344469,,,,,,,,,,,
P-5F13,경기도 고양시 덕양구 행신동 994,37.62262717,126.8362391,,,,,,,,,,,
P-5F14,경기도 고양시 덕양구 행신동 858,37.6154013,126.8392496,,,,,,,,,,,
P-5F15,경기도 고양시 덕양구 행신동 835,37.61547623,126.831772,,,,,,,,,,,
P-6302,경기도 고양시 일산동구 정발산동 1486,37.67398095,126.776748,,,,,,,,,,,
P-6303,경기도 고양시 일산동구 정발산동 1486,37.67398095,126.776748,,,,,,,,,,,
P-6712,경기도 고양시 일산동구 마두동 778,37.654588,126.7896544,,,,,,,,,,,
P-6713,경기도 고양시 일산동구 마두동723,37.65762,126.7885932,,,,,,,,,,,
P-6714,경기도 고양시 일산동구 마두동 772,37.65287639,126.7793701,,,,,,,,,,,
P-6913,경기도 고양시 일산동구 장항동 857,37.65826719,126.7726593,,,,,,,,,,,
P-6914,경기도 고양시 일산동구 장항동 867,37.65589641,126.7720388,,,,,,,,,,,
P-6931,경기도 고양시 일산동구 장항동1504,37.65733038,126.7716654,,,,,,,,,,,
P-6932,경기도 고양시 일산동구 장항동 859-1,37.6569282,126.7718487,,,,,,,,,,,
P-6A01,경기도 고양시 일산동구 장항동 853,37.6555821,126.7741236,,,,,,,,,,,
P-7106,경기도 고양시 일산서구 일산동 1394,37.67804508,126.7666019,,,,,,,,,,,
P-7107,경기도 고양시 일산서구 일산동 622-11,37.68435662,126.769564,,,,,,,,,,,
P-7108,경기도 고양시 일산서구 일산동 633,37.68433082,126.7719844,,,,,,,,,,,
P-5K16,경기도 고양시 덕양구 향동동 595번지 향기로 교차지점,37.60779641,126.8932758,,,,,,,,,,,
P-5K19,경기도 고양시 덕양구 향동동 5-8,37.6098169506,126.8930176174,,,,,,,,,,,
P-6115,경기도 고양시 일산동구 식사동 577-102,37.6691177377,126.8111323213,,,,,,,,,,,
P-6116,경기도 고양시 일산동구 식사동 1507 블루밍 아파트 앞,37.68222005,126.8109873,,,,,,,,,,,
P-6533,경기도 고양시 일산동구 백석동 1299-1,37.6398429374,126.7910053531,,,,,,,,,,,
P-5L05,경기도 고양시 덕양구 지축동 496-30,37.6483763152,126.9187282,,,,,,,,,,,
P-5L06,경기도 고양시 덕양구 지축동 573-3,37.6545178319,126.9208006,,,,,,,,,,,
P-5L12,경기도 고양시 덕양구 지축동 508,37.650057,126.9177813060,,,,,,,,,,,
P-6113,경기도 고양시 일산동구 식사동 621-10,37.6712067,126.8099394,,,,,,,,,,,
P-6114,경기도 고양시 일산동구 식사동 856-29,37.67177853,126.8075595,,,,,,,,,,,
P-6B03,경기도 고양시 일산동구 사리현동 117-1,37.6948190719,126.8443253331,,,,,,,,,,,
P-7116,경기도 고양시 일산서구 일산동 655-499,37.6827456644,126.7703450720,,,,,,,,,,,
P-7117,경기도 고양시 일산서구 일산동 625-6,37.6844886788,126.7705956744,,,,,,,,,,,
P-7118,경기도 고양시 일산서구 일산동 625-6,37.6844886788,126.7705956744,,,,,,,,,,,
P-7A01,경기도 고양시 일산서구 덕이동 산 138-4,37.6958138301,126.7529464358,,,,,,,,,,,
SP-5L01,경기도 고양시 덕양구 지축동 608-1,37.6532962158,126.9152802568,,,,,,,,,,,
SP-6166,경기도 고양시 일산동구 식사동 633-2,37.67216343,126.8126834229,,,,,,,,,,,
SP-7324,경기도 고양시 일산서구 일산동 955-84 (한뫼초 부근),37.6861851665,126.7670321288,,,,,,,,,,,
P-5331,경기도 고양시 덕양구 원흥동 632,37.6487154596,126.8734377557,,,,,,,,,,,
P-5725,경기도 고양시 덕양구 오금동 696,37.6621732376,126.9118663418,,,,,,,,,,,
P-5730,경기도 고양시 덕양구 삼송동 378,37.6433968690,126.8760396776,,,,,,,,,,,
P-5731,경기도 고양시 덕양구 삼송동 136-28,37.65244235,126.8899694,,,,,,,,,,,
P-5733,경기도 고양시 덕양구 신원동 680-4,37.6626254584,126.8912195052,,,,,,,,,,,
P-5E09,경기도 고양시 덕양구 토당동 280-22,37.624999,126.8162083188,,,,,,,,,,,
P-5F31,경기도 고양시 덕양구 행신동 873 (고양여성회관앞 삼거리),37.61723396,126.8358094110,,,,,,,,,,,
P-5J01,경기도 고양시 덕양구 덕은동 413-8,37.58113656,126.8643458,,,,,,,,,,,
P-5J02,경기도 고양시 덕양구 덕은동 455,37.5806835032,126.8680722366,,,,,,,,,,,
P-5J03,경기도 고양시 덕양구 덕은동 434-1,37.5799082034,126.8634438263,,,,,,,,,,,
P-5J04,경기도 고양시 덕양구 덕은동 335-1,37.5826235122,126.8691161597,,,,,,,,,,,
P-5K15,경기도 고양시 덕양구 향동동 595-1번지 향동로 교차지점,37.60683452,126.8925468,,,,,,,,,,,
P-5408,경기도 고양시 덕양구 성사동 710,37.6553636,126.8386348,,,,,,,,,,,
P-5407,경기도 고양시 덕양구 성사동 744-1,37.65401188,126.8377356397,,,,,,,,,,,
SP-6722,경기도 고양시 일산동구 마두동 830,37.66672298,126.7856589,,,,,,,,,,,
SP-6723,경기도 고양시 일산동구 마두동 808 (한국경진학교),37.6653521213,126.7821081372,,,,,,,,,,,
P-5201,경기도 고양시 덕양구 신원동 655,37.66377452,126.8855432,,,,,,,,,,,
P-5202,경기도 고양시 덕양구 신원동 628,37.66345578,126.8907852,,,,,,,,,,,
P-5203,경기도 고양시 덕양구 신원동 674,37.66519238,126.8870232,,,,,,,,,,,
P-5204,경기도 고양시 덕양구 신원동 630-2,37.66248741,126.8928508,,,,,,,,,,,
P-5205,경기도 고양시 덕양구 신원동 633,37.6618645,126.890319,,,,,,,,,,,
P-5206,경기도 고양시 덕양구 신원동 601,37.66780558,126.8858833,,,,,,,,,,,
P-5301,경기도 고양시 덕양구 원흥동 630,37.64861609,126.8765457,,,,,,,,,,,
P-5302,경기도 고양시 덕양구 원흥동 689-7,37.64852804,126.8757597,,,,,,,,,,,
P-5303,경기도 고양시 덕양구 도내동 1089,37.62897318,126.8685348,,,,,,,,,,,
P-5304,경기도 고양시 덕양구 도내동 958,37.63486423,126.8712752,,,,,,,,,,,
SP-5A13,경기도 고양시 덕양구 관산동 108-6,37.691228,126.8663759,,,,,,,,,,,
SP-5B08,경기도 고양시 덕양구 토당동 296-7,37.624111,126.8173027,,,,,,,,,,,
SP-5C20,경기도 고양시 덕양구 화정동 860,37.64537919,126.8327254,,,,,,,,,,,
SP-5D16,경기도 고양시 덕양구 화정동 987,37.63140093,126.8343647,,,,,,,,,,,
SP-5E21,경기도 고양시 덕양구 토당동 407-13,37.61795244,126.8268864,,,,,,,,,,,
SP-5E42,경기도 고양시 덕양구 토당동 840-3,37.62647417,126.82341,,,,,,,,,,,
SP-5G17,경기도 고양시 덕양구 행신동 780,37.61754278,126.8395857,,,,,,,,,,,
SP-6114,경기도 고양시 일산동구 식사동 668-21,37.6769175,126.8108599,,,,,,,,,,,
SP-6302,경기도 고양시 일산동구 정발산동 1117,37.6754219,126.7788532,,,,,,,,,,,
SP-6328,경기도 고양시 일산동구 정발산동 1117,37.67544394,126.7788445,,,,,,,,,,,
SP-6421,경기도 고양시 일산동구 풍동 1284,37.66687039,126.7967057,,,,,,,,,,,
SP-6605,경기도 고양시 일산동구 백석동 1427-6,37.6443158,126.7821002,,,,,,,,,,,
P-7719,경기도 고양시 일산서구 대화동 2606-1,37.66383701,126.7556101,,,,,,,,,,,
P-7720,경기도 고양시 일산서구 대화동 2606-2,37.66325155,126.7560541,,,,,,,,,,,
SP-5305,경기도 고양시 일산서구 성사동 488-63,37.6575377,126.8431049,,,,,,,,,,,
SP-5506,경기도 고양시 덕양구 성사동 732 (성라초교 후문 삼거리 태영상가 앞),37.6527901787,126.8338442719,,,,,,,,,,,
SP-5H26,경기도 고양시 덕양구 행신동 1013,37.62419885,126.8324049,,,,,,,,,,,
SP-6418,경기도 고양시 일산동구 풍동 551-57 (풍산초교 두산위브2단지 203동 앞),37.66536295,126.7970102,,,,,,,,,,,
SP-6515,경기도 고양시 일산동구 백석동 1188,37.6521391747,126.7890576663,,,,,,,,,,,
SP-6516,경기도 고양시 일산동구 백석동 1192,37.6496009979,126.7843119243,,,,,,,,,,,
P-5907,경기도 고양시 덕양구 고양동 4-9,37.7076007,126.9022181,,,,,,,,,,,
P-5908,경기도 고양시 덕양구 고양동 721,37.70890581,126.9028871,,,,,,,,,,,
P-5909,경기도 고양시 덕양구 고양동 713,37.7107294,126.904777,,,,,,,,,,,
P-5910,경기도 고양시 덕양구 고양동 614,37.7123873,126.9078954,,,,,,,,,,,
P-5911,경기도 고양시 덕양구 고양동 577,37.71009733,126.9059544,,,,,,,,,,,
P-5C21,경기도 고양시 덕양구 화정동 985,37.63095824,126.8317291,,,,,,,,,,,
P-6211,경기도 고양시 일산동구 중산동 1651,37.68298713,126.7792441,,,,,,,,,,,
P-7415,경기도 고양시 일산서구 탄현동 1634-3,37.7023617,126.7670127,,,,,,,,,,,
P-7710,경기도 고양시 일산서구 대화동 2219-2,37.67614509,126.7461437,,,,,,,,,,,
P-7711,경기도 고양시 일산서구 대화동 2238,37.67447522,126.7481578,,,,,,,,,,,
P-7724,경기도 고양시 일산서구 대화동 2723,37.66121186,126.7420964,,,,,,,,,,,
P-7725,경기도 고양시 일산서구 대화동 2723,37.66121186,126.7420964,,,,,,,,,,,
P-7726,경기도 고양시 일산서구 대화동 2723,37.66121186,126.7420964,,,,,,,,,,,
P-7732,경기도 고양시 일산서구 대화동 2202-2,37.67582142,126.749069,,,,,,,,,,,
SP-5306,경기도 고양시 일산서구 도내동 432-2,37.6306192,126.8690581,,,,,,,,,,,
SP-5501,경기도 고양시 덕양구 성사동 736,37.6518049,126.8330094,,,,,,,,,,,
SP-5801,경기도 고양시 덕양구 용두동 19-4,37.62066183,126.893737,,,,,,,,,,,
SP-5918,경기도 고양시 덕양구 고양동 1130,37.71471075,126.9031188,,,,,,,,,,,
P-7716,경기도 고양시 일산서구 대화동2606,37.6645541,126.7545266,,,,,,,,,,,
P-7717,경기도 고양시 일산서구 대화동2606,37.6645541,126.7545266,,,,,,,,,,,
P-7718,경기도 고양시 일산서구 대화동2606,37.6645541,126.7545266,,,,,,,,,,,
P-7723,경기도 고양시 일산서구 대화동 2247,37.673603,126.7503729,,,,,,,,,,,
P-7730,경기도 고양시 일산서구 대화동 2306-2,37.671585,126.7451536,,,,,,,,,,,
SP-5D07,경기도 고양시 덕양구 화정동 1000-4,37.6301041,126.8319078,,,,,,,,,,,
SP-5F10,경기도 고양시 덕양구 행신동 983-1,37.62194692,126.8364546,,,,,,,,,,,
SP-5H18,경기도 고양시 덕양구 행신동 1082-2,37.6184404581,126.8455462975,,,,,,,,,,,
SP-6218,경기도 고양시 일산동구 중산동 1554-1,37.69613944,126.7826205,,,,,,,,,,,
SP-6219,경기도 고양시 일산동구 중산동 1575-3,37.6904444829,126.7835570669,,,,,,,,,,,
SP-7724,경기도 고양시 일산서구 대화동 2006 (성저초교),37.6847450160,126.7573646902,,,,,,,,,,,
P-5C20,경기도 고양시 덕양구 화정동 1008,37.6287047,126.829842,,,,,,,,,,,
P-6205,경기도 고양시 일산동구 중산동 1805,37.67517615,126.7850915,,,,,,,,,,,
P-6206,경기도 고양시 일산동구 중산동 1811,37.6743685,126.7876817,,,,,,,,,,,
P-6207,경기도 고양시 일산동구 중산동 1814,37.6745176,126.7877961,,,,,,,,,,,
P-6210,경기도 고양시 일산동구 중산동 1662,37.6845076,126.7779843,,,,,,,,,,,
P-6901,경기도 고양시 일산동구 장항동 892,37.65257831,126.7763845,,,,,,,,,,,
P-7201,경기도 고양시 일산서구 일산동 1686,37.68398264,126.7765762,,,,,,,,,,,
P-7402,경기도 고양시 일산서구 탄현동 1648,37.69596307,126.7643494,,,,,,,,,,,
P-7403,경기도 고양시 일산서구 탄현동 1647,37.69535208,126.7613691,,,,,,,,,,,
P-7404,경기도 고양시 일산서구 탄현동 289-5,37.69466765,126.7612533,,,,,,,,,,,
P-7405,경기도 고양시 일산서구 탄현동 1564,37.69226626,126.762328,,,,,,,,,,,
P-7706,경기도 고양시 일산서구 대화동 2602,37.66799365,126.7516307,,,,,,,,,,,
P-7707,경기도 고양시 일산서구 대화동 2602-2,37.66718203,126.7510935,,,,,,,,,,,
P-7708,경기도 고양시 일산서구 대화동 1050-171,37.66727315,126.7536584,,,,,,,,,,,
P-7709,경기도 고양시 일산서구 대화동 1050-171,37.667203,126.7536584,,,,,,,,,,,
P-5C19,경기도 고양시 덕양구 화정동 967-1,37.63580649,126.8325115,,,,,,,,,,,
P-5F17,경기도 고양시 덕양구 행신동 796,37.6170162,126.8456988,,,,,,,,,,,
P-5F18,경기도 고양시 덕양구 행신동 1005,37.62414406,126.8312671,,,,,,,,,,,
P-6104,경기도 고양시 일산동구 식사동 807-4,37.6768453,126.8072744,,,,,,,,,,,
P-6934,경기도 고양시 일산동구 장항동 1509,37.65643322,126.7692391,,,,,,,,,,,
P-7111,경기도 고양시 일산서구 일산동 655-454,37.68431707,126.7683986,,,,,,,,,,,
P-7523,경기도 고양시 일산서구 주엽동 14,37.67502151,126.7554509,,,,,,,,,,,
P-7524,경기도 고양시 일산서구 주엽동 138,37.67254415,126.7540063,,,,,,,,,,,
P-7727,경기도 고양시 일산서구 대화동 2607-2,37.66672585,126.7464595,,,,,,,,,,,
P-7728,경기도 고양시 일산서구 대화동 2607,37.66624826,126.7459032,,,,,,,,,,,
P-7729,경기도 고양시 일산서구 대화동 2607,37.66624826,126.7459032,,,,,,,,,,,
SP-5E11,경기도 고양시 덕양구 행주내동 99 (삼거리),37.5997952172,126.8270319987,,,,,,,,,,,
P-5F16,경기도 고양시 덕양구 행신동 820,37.61857392,126.8290928,,,,,,,,,,,
P-6203,경기도 고양시 일산동구 중산동 1775,37.6800552,126.7845522,,,,,,,,,,,
P-6204,경기도 고양시 일산동구 중산동 1775,37.6800552,126.7845522,,,,,,,,,,,
P-6208,경기도 고양시 일산동구 중산동 1573,37.69254797,126.7822753,,,,,,,,,,,
P-6209,경기도 고양시 일산동구 중산동 1570,37.69312805,126.7810036,,,,,,,,,,,
P-6403,경기도 고양시 일산동구 풍동1275,37.66774328,126.8003849,,,,,,,,,,,
P-6517,경기도 고양시 일산동구 백석동 1223,37.6498208,126.7859323,,,,,,,,,,,
P-6518,경기도 고양시 일산동구 백석동 1230,37.64890093,126.7937315,,,,,,,,,,,
P-6935,경기도 고양시 일산동구 장항동 866,37.65614811,126.7694718,,,,,,,,,,,
P-7104,경기도 고양시 일산서구 일산동 1410,37.6816646,126.7696775,,,,,,,,,,,
P-7105,경기도 고양시 일산서구 일산동1719,37.69186175,126.7739233,,,,,,,,,,,
P-7410,경기도 고양시 일산서구 탄현동133,37.699238,126.765393,,,,,,,,,,,
P-7411,경기도 고양시 일산서구 탄현동 1650,37.70374149,126.7665005,,,,,,,,,,,
P-7522,경기도 고양시 일산서구 주엽동 86,37.66634901,126.765318,,,,,,,,,,,
P-7112,경기도 고양시 일산서구 탄현동 1570,37.6895093,126.7614653,,,,,,,,,,,
P-7302,경기도 고양시 일산서구 일산동 1079,37.6780171,126.7678043,,,,,,,,,,,
P-7303,경기도 고양시 일산서구 일산동 1083,37.67705135,126.768589,,,,,,,,,,,
P-7304,경기도 고양시 일산서구 일산동 1061-5,37.67829162,126.7657124,,,,,,,,,,,
P-7305,경기도 고양시 일산서구 일산동 1064,37.67917243,126.7652641,,,,,,,,,,,
P-7306,경기도 고양시 일산서구 일산동 1059,37.67913091,126.76374,,,,,,,,,,,
P-7414,경기도 고양시 일산서구 탄현동 1528,37.69304019,126.7698538,,,,,,,,,,,
P-5403,경기도 고양시 덕양구 성사동 704-3,37.65443101,126.8379509,,,,,,,,,,,
P-5404,경기도 고양시 덕양구 주교동 621-3,37.65895418,126.8385361,,,,,,,,,,,
P-5405,경기도 고양시 덕양구 성사동 696,37.65704766,126.8371258,,,,,,,,,,,
P-5C18,경기도 고양시 덕양구 화정동 1131,37.62780292,126.8348014,,,,,,,,,,,
P-7517,경기도 고양시 일산서구 주엽동 17,37.67241665,126.757552,,,,,,,,,,,
P-7518,경기도 고양시 일산서구 주엽동 101,37.66848587,126.7620854,,,,,,,,,,,
P-7519,경기도 고양시 일산서구 주엽동 75,37.66781012,126.76666,,,,,,,,,,,
P-7520,경기도 고양시 일산서구 주엽동 73,37.66834954,126.765681,,,,,,,,,,,
P-7521,경기도 고양시 일산서구 주엽동 65,37.67037914,126.7645758,,,,,,,,,,,
P-7705,경기도 고양시 일산서구 대화동 2502,37.67626111,126.7477259,,,,,,,,,,,
P-7712,경기도 고양시 일산서구 대화동 2502,37.67626111,126.7477259,,,,,,,,,,,
P-7713,경기도 고양시 일산서구 대화동 2199-1,37.67546915,126.7510752,,,,,,,,,,,
P-7714,경기도 고양시 일산서구 대화동 2199-2,37.67531456,126.7506561,,,,,,,,,,,
P-7715,경기도 고양시 일산서구 대화동 2209,37.67703358,126.7486426,,,,,,,,,,,
P-5103,경기도 고양시 덕양구 주교동 604,37.6584435510,126.8303520080,,,,,,,,,,,
P-5104,경기도 고양시 덕양구 주교동 615-6,37.6569478,126.8360807,,,,,,,,,,,
P-5105,경기도 고양시 덕양구 주교동 602,37.65742726,126.8320356181,,,,,,,,,,,
P-5106,경기도 고양시 덕양구 주교동 601-5,37.65720837,126.8333665,,,,,,,,,,,
P-5107,경기도 고양시 덕양구 주교동 636,37.65707891,126.8310497,,,,,,,,,,,
P-5401,경기도 고양시 덕양구 성사동 725,37.65317373,126.8371413,,,,,,,,,,,
P-5402,경기도 고양시 덕양구 성사동 698-2,37.6560876,126.8366574,,,,,,,,,,,
P-5902,경기도 고양시 덕양구 고양동 205,37.7019125,126.9019543,,,,,,,,,,,
P-5903,경기도 고양시 덕양구 고양동 120-1,37.70442715,126.9019008,,,,,,,,,,,
P-5A01,경기도 고양시 덕양구 관산동 231-1,37.6882542,126.8642099,,,,,,,,,,,
P-5C10,경기도 고양시 덕양구 화정동 969,37.63519647,126.8314074,,,,,,,,,,,
P-5C11,경기도 고양시 덕양구 화정동 974,37.63418945,126.8337042,,,,,,,,,,,
P-5C12,경기도 고양시 덕양구 화정동 1112,37.63245137,126.833917,,,,,,,,,,,
P-5C13,경기도 고양시 덕양구 화정동 984,37.63197574,126.8307283,,,,,,,,,,,
P-6703,경기도 고양시 일산동구 마두동 752,37.657316,126.7879446,,,,,,,,,,,
P-6915,경기도 고양시 일산동구 장항동 854-1,37.65597375,126.7732253,,,,,,,,,,,
P-5904,경기도 고양시 덕양구 고양동 174-1,37.7065647,126.9029104,,,,,,,,,,,
P-6706,경기도 고양시 일산동구 마두동 806,37.6501177,126.780266,,,,,,,,,,,
