주차장번호,주차장id,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,전화번호,위도,경도,장애인전용주차구역보유여부
11,,정발산,공영,노외,,경기도 고양시 일산동구 정발산동 815,26,평일,8:00,20:00,0:00,0:00,0:00,0:00,유료,30,200,5,50,24,3000,60000,031-929-4858,37.66669553,126.7744189,Y
12,,백석 제3공영주차장,공영,노외,,경기도 고양시 일산동구 백석동 1148,23,평일,8:00,20:00,0:00,0:00,0:00,0:00,유료,30,200,5,50,24,3000,60000,031-929-4858,37.64994856,126.7923329,Y
13,00015,마두 공영주차장,공영,노외,,경기도 고양시 일산동구 마두동 921,24,평일,8:00,20:00,0:00,0:00,0:00,0:00,유료,30,200,5,50,24,3000,60000,031-929-4858,37.66034152,126.7862052,Y
14,,일산동구청 부설,공영,부설,경기도 고양시 일산동구 중앙로 1256,경기도 고양시 일산동구 마두동 815,463,평일,8:00,21:00,0:00,0:00,0:00,0:00,혼합,60,0,5,170,13,,30000,031-929-4847,37.65888174,126.7749581,Y
15,00023,호수공원 제1부설주차장,공영,부설,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,240,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,300,5,50,13,,,031-929-4847,37.665004,126.759297,Y
16,00007,호수공원 제2부설주차장,공영,부설,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,507,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,300,5,50,13,,,031-929-4847,37.661927,126.763168,Y
17,,호수공원 제3부설주차장,공영,부설,경기도 고양시 일산동구 호수로 595,경기도 고양시 일산동구 장항동 906,181,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,300,5,50,13,,,031-929-4847,37.653321,126.769535,Y
18,00024,호수공원 제4부설주차장,공영,부설,,경기도 고양시 일산동구 장항동 905,125,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,300,5,50,13,,,031-929-4847,37.651523,126.770943,Y
19,00029,중산공원 부설주차장,공영,부설,경기도 고양시 일산동구 중산로 217,경기도 고양시 일산동구 중산동 1565,103,평일,9:00,21:00,0:00,0:00,0:00,0:00,혼합,30,300,5,50,12,,60000,031-929-4847,37.692136,126.779431,Y
20,,한류월드 제2공영주차장,공영,노외,,경기도 고양시 일산동구 장항동 1801,87,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,600,5,100,24,8000,90000,031-929-4858,37.65987517,126.7559495,Y
21,00053,한류월드 제1공영주차장,공영,노외,,경기도 고양시 일산동구 장항동 1777,107,평일+토요일+공휴일,9:00,22:00,9:00,22:00,9:00,22:00,유료,30,500,5,100,24,6000,80000,031-929-4858,37.66305598,126.7564824,Y
22,,노상 5권역,공영,노상,경기도 고양시 일산동구 강석로 2,경기도 고양시 일산동구 백석동 1283-2,90,평일,9:00,21:00,0:00,0:00,0:00,0:00,유료,5,150,5,150,,,,031-929-4846,37.643946,126.788601,Y
23,,노상 6권역,공영,노상,경기도 고양시 일산동구 중앙로1261번길 61,경기도 고양시 일산동구 장항동 864,76,평일+토요일+공휴일,9:00,21:00,9:00,21:00,9:00,21:00,유료,5,150,5,150,,,,031-929-4846,37.657418,126.769638,Y
24,00018,장항 제1공영주차장,공영,노외,경기도 고양시 일산동구 무궁화로 32-19,경기도 고양시 일산동구 장항동 777,177,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,80000,031-929-4858,37.66203396,126.7687424,Y
25,00032,장항 제2공영주차장,공영,노외,경기도 고양시 일산동구 고봉로 32-35,경기도 고양시 일산동구 장항동 732,175,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,80000,031-929-4858,37.6637749,126.7670369,Y
26,00042,장항 제3공영주차장,공영,노외,경기도 고양시 일산동구 무궁화로 19-19,경기도 고양시 일산동구 장항동 743,216,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,80000,031-929-4858,37.66280348,126.7660472,Y
27,00022,장항 제4공영주차장,공영,노외,경기도 고양시 일산동구 무궁화로 20-28,경기도 고양시 일산동구 장항동 758,192,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,80000,031-929-4858,37.66100858,126.7677936,Y
28,,장항 제5공영주차장,공영,노외,경기도 고양시 일산동구 중앙로1275번길 14-27,경기도 고양시 일산동구 장항동 772,129,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,80000,031-8075-2924,37.66070141,126.771054,Y
29,00039,백석 제1공영주차장,공영,노외,경기도 고양시 일산동구 장백로 31-12,경기도 고양시 일산동구 백석동 1311,235,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,80000,031-929-4858,37.64058987,126.7875174,Y
30,,백석 제2공영주차장,공영,노외,경기도 고양시 일산동구 장백로 15-7,경기도 고양시 일산동구 백석동 1315,167,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,5,100,24,8000,80000,031-929-4858,37.63962374,126.7893737,Y
31,,중산 제1공영주차장,공영,노외,,경기도 고양시 일산동구 중산동 1667,9,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.68360395,126.7781062,Y
32,,중산 제2공영주차장,공영,노외,,경기도 고양시 일산동구 중산동 1659,10,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.68524019,126.7801017,Y
33,,풍동 제1공영주차장,공영,노외,,경기도 고양시 일산동구 풍동 1244,57,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,031-929-4858,37.67315657,126.7996206,Y
34,,풍동 제2공영주차장,공영,노외,경기도 고양시 일산동구 숲속마을로 50-88,경기도 고양시 일산동구 풍동 1272,80,평일,9:00,22:00,0:00,0:00,0:00,0:00,유료,30,500,5,100,24,6000,60000,031-929-4858,37.66772432,126.7980626,Y
35,00036,풍동 제3공영주차장,공영,노외,경기도 고양시 일산동구 숲속마을로 14-7,경기도 고양시 일산동구 풍동 1276,56,평일,9:00,22:00,0:00,0:00,0:00,0:00,유료,30,500,5,100,24,6000,60000,031-929-4858,37.66756619,126.8009699,Y
